,trim_id,model_id,invoice,price
551,1105,167,42475,44900
552,1106,167,38124,40300
553,1107,167,39637,41900
554,1114,167,41340,43700
555,1111,167,39827,42100
556,1122,167,38313,40500
557,1112,167,35664,37700
558,1113,167,40773,43100
559,1119,167,34529,36500
560,1118,167,36989,39100
561,1117,167,38502,40700
562,1116,167,37178,39300
563,1138,168,15020,15500
564,1139,168,16085,16600
565,1134,168,16473,17000
566,1140,168,17539,18100
567,1133,168,16085,16600
568,1136,168,17151,17700
569,1135,168,13178,13600
570,1137,168,14244,14700
571,1152,31,48341,51100
572,1153,31,51179,54100
573,1148,31,71612,75700
574,1149,31,68774,72700
575,1142,31,52408,55400
576,1145,31,49570,52400
577,1141,31,54679,57800
578,1147,31,57517,60800
579,1143,31,62247,65800
580,1146,31,65085,68800
581,1150,31,60544,64000
582,1151,31,57706,61000
583,1144,31,59598,63000
584,1165,32,45786,48400
585,1166,32,48624,51400
586,1159,32,66220,70000
587,1164,32,69058,73000
588,1156,32,47016,49700
589,1157,32,49854,52700
590,1154,32,52125,55100
591,1155,32,54963,58100
592,1158,32,59693,63100
593,1160,32,62531,66100
594,1162,32,55152,58300
595,1163,32,57990,61300
596,1161,32,57044,60300
597,1167,33,24775,25700
598,1172,33,26221,27200
599,1170,33,20822,21600
600,1171,33,22750,23600
601,1168,33,22943,23800
602,1173,33,24871,25800
603,1169,33,26221,27200
604,1174,33,24775,25700
605,1178,34,50944,53400
606,1183,34,48845,51200
607,1175,34,32150,33700
608,1182,34,34058,35700
609,1188,34,32436,34000
610,1190,34,34344,36000
611,1185,34,38160,40000
612,1186,34,34535,36200
613,1187,34,34559,36225
614,1189,34,36467,38225
615,1180,34,38065,39900
616,1181,34,39973,41900
617,1176,34,46937,49200
618,1177,34,44456,46600
619,1179,34,42167,44200
620,1184,34,44075,46200
621,1191,169,20630,21400
622,1193,169,21227,22020
623,1192,169,22365,23200
624,1194,169,22962,23820
625,1197,170,40652,42155
626,1198,170,43528,45350
627,1195,170,32892,33545
628,1196,170,35506,36295
629,1199,170,35932,36745
630,1200,170,38071,38995
631,1208,171,51875,54000
632,1206,171,55684,58050
633,1207,171,47175,49000
634,1201,171,46942,48750
635,1205,171,49566,51545
636,1209,171,51916,54045
637,1210,171,54544,56840
638,1204,171,35985,37095
639,1211,171,38800,40090
640,1202,171,39772,41125
641,1203,171,42588,44120
642,1212,172,31612,32115
643,1215,173,32963,33705
644,1216,173,35824,36705
645,1217,173,37790,38680
646,1218,173,44290,45055
647,1219,173,49686,51050
648,1220,173,66974,67825
649,1222,173,74718,76430
650,1223,173,80118,82430
651,1225,173,81014,83425
652,1221,173,72374,73825
653,1224,173,82818,85430
654,1213,173,29867,30430
655,1214,173,32694,33430
656,1228,174,34464,35275
657,1229,174,37318,38275
658,1230,174,40005,41010
659,1231,174,46557,47385
660,1232,174,51953,53380
661,1234,174,82615,84500
662,1235,174,83511,85495
663,1233,174,74875,75900
664,1226,174,31850,32500
665,1227,174,35270,36100
666,1246,175,50428,51960
667,1247,175,52423,53960
668,1242,175,39251,40360
669,1244,175,41238,42360
670,1237,175,44928,46460
671,1243,175,42941,44460
672,1238,175,49095,50560
673,1240,175,51089,52560
674,1249,175,50891,52555
675,1250,175,52885,54555
676,1239,175,53235,55160
677,1245,175,55229,57160
678,1248,175,68547,68960
679,1236,175,36779,37760
680,1241,175,38767,39760
681,1253,176,27630,27965
682,1251,176,29028,29955
683,1252,176,28227,29100
684,1255,176,32017,33145
685,1254,176,32699,33945
686,1258,177,44960,46590
687,1265,177,42938,44495
688,1256,177,30831,31300
689,1260,177,34672,35200
690,1263,177,35455,35995
691,1267,177,31614,32095
692,1259,177,37709,38675
693,1264,177,36933,37880
694,1268,177,34891,35785
695,1272,177,35666,36580
696,1261,177,39411,40840
697,1275,177,37389,38745
698,1266,177,38644,40045
699,1273,177,33322,37950
700,1277,177,51145,53000
701,1270,177,43464,45040
702,1269,177,41442,42945
703,1274,177,39907,41355
704,1262,177,41929,43450
705,1276,177,66103,68500
706,1271,177,48038,49780
707,1257,177,49433,51225
708,1280,178,35310,36590
709,1279,178,28382,28815
710,1281,178,29767,30530
711,1278,178,33244,34450
712,1309,183,54530,54530
713,1311,183,55690,55690
714,1310,183,50185,50185
715,1313,183,51395,51395
716,1308,183,51280,51280
717,1312,183,52490,52490
718,1282,179,21599,22040
719,1284,179,25000,25510
720,1285,179,27641,28205
721,1283,179,27827,28395
722,1289,180,36807,37945
723,1290,180,37771,39345
724,1288,180,44626,46485
725,1287,180,41376,43100
726,1286,180,41376,43100
727,1291,181,26215,27025
728,1295,181,27670,28525
729,1299,181,27225,28360
730,1301,181,28665,29860
731,1293,181,28978,30185
732,1296,181,30418,31685
733,1297,181,30946,32235
734,1298,181,29506,30735
735,1300,181,33221,34605
736,1303,181,32693,34055
737,1304,181,31248,32550
738,1302,181,35659,37145
739,1292,181,35131,36595
740,1294,181,33691,35095
741,1305,182,34037,35455
742,1306,182,36663,38190
743,1307,182,39072,40700
744,1329,184,76953,80160
745,1323,184,74025,77110
746,1316,184,64373,67055
747,1321,184,67301,70105
748,1326,184,75945,79110
749,1325,184,78873,82160
750,1318,184,69221,72105
751,1322,184,66293,69055
752,1330,184,78297,81560
753,1320,184,81225,84610
754,1334,184,53189,55405
755,1335,184,56117,58455
756,1319,184,59991,62490
757,1317,184,57063,59440
758,1332,184,76377,79560
759,1331,184,79305,82610
760,1315,184,67632,70450
761,1333,184,50309,52405
762,1336,184,53237,55455
763,1328,184,51220,53375
764,1327,184,54148,56425
765,1324,184,58071,60490
766,1314,184,55143,57440
767,1339,185,34445,35510
768,1340,185,36385,37510
769,1352,185,53405,55630
770,1351,185,51485,53630
771,1344,185,47107,49070
772,1346,185,45187,47070
773,1341,185,51897,54060
774,1345,185,49977,52060
775,1350,185,53545,55775
776,1349,185,51625,53775
777,1355,185,50281,52375
778,1348,185,52201,54375
779,1338,185,49209,51260
780,1337,185,47289,49260
781,1353,185,43929,45760
782,1354,185,45849,47760
783,1347,185,46387,48320
784,1343,185,38947,40570
785,1342,185,37027,38570
786,1374,186,59620,63765
787,1362,186,59344,63470
788,1364,186,55791,59670
789,1367,186,56077,59975
790,1381,186,53132,56825
791,1396,186,46044,49245
792,1385,186,45768,48950
793,1380,186,48213,51565
794,1366,186,47979,51315
795,1393,186,50920,54460
796,1369,186,51523,55105
797,1392,186,49312,52740
798,1376,186,71972,76975
799,1379,186,75207,80435
800,1378,186,61939,66245
