,trim_id,model_id,invoice,price
1285,4768,227,24440,25550
1286,4765,227,26925,28150
1287,4771,227,28264,29550
1288,4773,228,40754,42000
1289,4772,228,36432,37390
1290,4774,228,43972,45600
1291,4775,229,57858,58935
1292,4776,229,61244,62385
1293,4777,43,45280,47900
1294,4784,43,43673,46200
1295,4779,43,44405,46975
1296,4783,43,42799,45275
1297,4778,43,31382,32675
1298,4780,43,33014,34375
1299,4781,43,35003,37025
1300,4782,43,33396,35325
1301,4791,44,40448,42450
1302,4792,44,40257,42250
1303,4793,44,38828,40750
1304,4787,44,36923,38750
1305,4790,44,38543,40450
1306,4785,44,25732,27000
1307,4788,44,27351,28700
1308,4786,44,27446,28800
1309,4789,44,29065,30500
1310,4794,231,32066,33650
1311,4796,231,38066,39950
1312,4795,231,35828,37600
1313,4800,233,32267,33950
1314,4801,233,31649,33300
1315,4797,233,23006,23950
1316,4798,233,24524,25800
1317,4799,233,26899,28300
1318,4802,234,26460,27750
1319,4804,234,33655,35300
1320,4803,234,28509,29900
1321,4811,235,29274,30800
1322,4812,235,27944,29400
1323,4805,235,22790,23700
1324,4808,235,24135,25100
1325,4809,235,25081,26100
1326,4810,235,26404,27500
1327,4813,235,27134,28250
1328,4816,235,28478,29650
1329,4814,235,31792,33450
1330,4815,235,30462,32050
1331,4806,235,24183,25150
1332,4807,235,25529,26550
1333,4817,237,18271,18900
1334,4818,237,19218,19900
1335,4819,237,22121,23100
1336,4823,237,31055,32250
1337,4824,237,32498,33750
1338,4821,237,24502,25750
1339,4820,237,22338,23450
1340,4822,237,27070,28450
1341,4827,238,21358,22050
1342,4825,238,18220,18750
1343,4826,238,19220,19800
1344,4830,45,0,41800
1345,4831,45,0,43800
1346,4828,45,0,36700
1347,4829,45,0,38700
1348,4834,45,0,55850
1349,4835,45,0,57850
1350,4832,45,0,47700
1351,4833,45,0,49700
1352,4836,45,0,48200
1353,4837,45,0,50200
1354,4838,239,0,50300
1355,4841,239,0,52300
1356,4839,239,0,43750
1357,4843,239,0,41750
1358,4840,239,0,58200
1359,4842,239,0,60200
1360,4852,240,0,54300
1361,4853,240,0,56950
1362,4848,240,0,44800
1363,4849,240,0,46800
1364,4846,240,0,41600
1365,4847,240,0,43600
1366,4844,240,0,38050
1367,4845,240,0,40050
1368,4850,240,0,50100
1369,4851,240,0,52100
1370,4854,242,0,69150
1371,4855,242,0,72250
1372,4856,242,0,73450
1373,4857,242,0,76550
1374,4858,242,0,80300
1375,4859,242,0,83400
1376,4861,47,46995,49995
1377,4860,47,38535,40995
1378,4862,47,43329,46095
1379,4863,48,46995,49995
1380,4864,48,50661,53895
