,model_id,model_name,make_id
85,167,SILVERADO 3500HD,6
86,168,SPARK,6
87,31,SUBURBAN,6
88,32,TAHOE,6
89,33,TRAILBLAZER,6
90,34,TRAVERSE,6
91,169,TRAX,6
92,170,300,26
93,171,PACIFICA,26
94,172,VOYAGER,26
95,173,CHALLENGER,27
96,174,CHARGER,27
97,175,DURANGO,27
98,176,500X,28
99,177,BRONCO,29
100,178,BRONCO SPORT,29
101,179,ECOSPORT,29
102,180,EDGE,29
103,181,ESCAPE,29
104,182,ESCAPE PLUG-IN HYBRID,29
105,184,EXPEDITION,29
106,185,EXPLORER,29
107,186,F-150,29
108,188,F-250 SUPER DUTY,29
109,189,F-350 SUPER DUTY,29
110,190,F-450 SUPER DUTY,29
111,192,MUSTANG,29
112,193,MUSTANG MACH-E,29
113,194,RANGER,29
114,195,SHELBY GT500,29
115,196,TRANSIT CARGO VAN,29
116,400,TRANSIT CONNECT,29
117,199,TRANSIT CREW VAN,29
118,200,TRANSIT PASSENGER VAN,29
119,35,G70,7
120,201,G80,7
121,202,G90,7
122,38,GV80,7
123,39,ACADIA,8
124,203,CANYON,8
125,205,SAVANA,8
126,206,SAVANA CARGO,8
127,207,SIERRA 1500,8
128,209,SIERRA 2500HD,8
129,210,SIERRA 3500HD,8
130,211,TERRAIN,8
131,212,YUKON,8
132,213,YUKON XL,8
133,214,ACCORD,9
134,215,ACCORD HYBRID,9
135,216,CIVIC,9
136,401,CLARITY,9
137,217,CR-V,9
138,218,CR-V HYBRID,9
139,40,HR-V,9
140,219,INSIGHT,9
141,41,ODYSSEY,9
142,220,PASSPORT,9
143,221,PILOT,9
144,222,RIDGELINE,9
145,223,ACCENT,10
146,42,ELANTRA,10
147,402,IONIQ ELECTRIC,10
148,225,IONIQ HYBRID,10
149,226,IONIQ PLUG-IN HYBRID,10
150,227,KONA,10
151,228,KONA ELECTRIC,10
152,229,NEXO,10
153,43,PALISADE,10
154,44,SANTA FE,10
155,231,SANTA FE HYBRID,10
156,233,SONATA,10
157,234,SONATA HYBRID,10
158,235,TUCSON,10
159,237,VELOSTER,10
160,238,VENUE,10
161,45,Q50,11
162,239,Q60,11
163,240,QX50,11
164,242,QX80,11
165,47,E-PACE,12
166,48,F-PACE,12
167,49,F-TYPE,12
168,51,XF,12
169,243,CHEROKEE,30
170,244,COMPASS,30
171,245,GLADIATOR,30
172,246,GRAND CHEROKEE,30
173,248,GRAND CHEROKEE L,30
174,251,RENEGADE,30
175,253,WRANGLER,30
176,254,WRANGLER 4XE,30
177,255,GS-6,31
178,403,REVERO GT,31
179,53,FORTE,13
180,54,K5,13
181,257,NIRO,13
182,258,NIRO EV,13
183,259,NIRO PLUG-IN HYBRID,13
184,260,RIO,13
185,404,SEDONA,13
186,55,SELTOS,13
187,261,SORENTO,13
188,262,SORENTO HYBRID,13
189,56,SOUL,13
190,57,SPORTAGE,13
191,59,STINGER,13
192,264,TELLURIDE,13
193,405,AVENTADOR,32
194,265,HURACAN,32
195,266,URUS,32
196,60,DEFENDER,14
197,61,DISCOVERY,14
198,62,DISCOVERY SPORT,14
199,63,RANGE ROVER,14
200,64,RANGE ROVER EVOQUE,14
201,267,RANGE ROVER SPORT,14
202,65,RANGE ROVER VELAR,14
203,268,ES,33
204,269,GX,33
205,270,IS,33
206,271,LC,33
207,272,LS,33
208,273,LX,33
209,274,NX,33
210,275,RC,33
211,276,RX,33
212,277,UX,33
213,66,AVIATOR,15
214,278,CORSAIR,15
215,279,NAUTILUS,15
216,280,NAVIGATOR,15
217,406,EVORA GT,45
218,282,GHIBLI,35
219,283,LEVANTE,35
220,285,QUATTROPORTE,35
221,286,3,16
222,407,6,16
223,408,CX-3,16
224,287,CX-30,16
225,288,CX-5,16
226,289,CX-9,16
227,291,MX-5 MIATA,16
228,292,MX-5 MIATA RF,16
229,293,720S,36
230,294,720S SPIDER,36
231,409,765LT,36
232,410,ELVA,36
233,297,GT,36
234,298,A-CLASS,37
235,299,AMG GT,37
236,300,C-CLASS,37
237,301,CLA-CLASS,37
238,302,CLS-CLASS,37
239,303,E-CLASS,37
240,411,G-CLASS,37
241,305,GLA-CLASS,37
242,306,GLB-CLASS,37
243,307,GLC-CLASS,37
244,308,GLC-CLASS COUPE,37
245,309,GLE-CLASS,37
246,310,GLE-CLASS COUPE,37
247,311,GLS-CLASS,37
248,312,MAYBACH,37
249,313,MAYBACH GLS,37
250,314,METRIS,37
251,315,S-CLASS,37
252,317,SPRINTER,37
253,68,CLUBMAN,17
254,69,CONVERTIBLE,17
255,70,COUNTRYMAN,17
256,71,HARDTOP 2 DOOR,17
257,72,HARDTOP 4 DOOR,17
258,318,MIRAGE,18
259,319,MIRAGE G4,18
260,321,OUTLANDER PHEV,18
261,322,OUTLANDER SPORT,18
262,323,ALTIMA,19
263,324,ARMADA,19
264,325,FRONTIER,19
265,412,GT-R,19
266,326,KICKS,19
267,74,LEAF,19
268,327,MAXIMA,19
269,328,MURANO,19
270,413,NV CARGO,19
271,414,NV PASSENGER,19
272,415,NV200,19
273,330,ROGUE,19
274,331,ROGUE SPORT,19
275,332,SENTRA,19
276,333,TITAN,19
277,334,TITAN XD,19
278,335,VERSA,19
279,416,1,20
280,76,2,20
281,336,718 BOXSTER,38
282,337,718 CAYMAN,38
283,338,911,38
284,339,CAYENNE,38
285,340,CAYENNE COUPE,38
286,341,MACAN,38
287,342,PANAMERA,38
288,343,TAYCAN,38
289,344,1500,39
290,347,1500 CLASSIC,39
291,345,2500,39
292,346,3500,39
293,348,PROMASTER CARGO VAN,39
294,349,PROMASTER CITY,39
295,350,PROMASTER WINDOW VAN,39
296,352,CULLINAN,41
297,417,GHOST,41
298,353,ASCENT,21
299,78,CROSSTREK,21
300,354,FORESTER,21
301,79,IMPREZA,21
302,80,LEGACY,21
303,81,OUTBACK,21
304,355,WRX,21
305,356,MODEL 3,42
306,357,MODEL S,42
307,358,MODEL X,42
308,359,MODEL Y,42
309,360,4RUNNER,22
310,361,AVALON,22
311,362,AVALON HYBRID,22
312,363,C-HR,22
313,84,CAMRY,22
314,85,CAMRY HYBRID,22
315,364,COROLLA,22
316,366,COROLLA HATCHBACK,22
317,367,COROLLA HYBRID,22
318,368,GR SUPRA,22
319,369,HIGHLANDER,22
320,370,HIGHLANDER HYBRID,22
321,418,LAND CRUISER,22
322,371,MIRAI,22
323,372,PRIUS,22
324,373,PRIUS PRIME,22
325,374,RAV4,22
326,375,RAV4 HYBRID,22
327,376,RAV4 PRIME,22
328,377,SEQUOIA,22
329,378,SIENNA,22
330,379,TACOMA,22
331,380,TUNDRA,22
332,381,VENZA,22
333,382,ARTEON,43
334,383,ATLAS,43
335,384,ATLAS CROSS SPORT,43
336,419,GOLF,43
337,385,GOLF GTI,43
338,387,ID.4,43
339,388,JETTA,43
340,389,JETTA GLI,43
341,390,PASSAT,43
342,392,TIGUAN,43
343,88,S60,23
344,89,S90,23
345,90,V60,23
346,91,V60 CROSS COUNTRY,23
347,420,V90,23
348,92,V90 CROSS COUNTRY,23
349,93,XC40,23
350,394,XC40 RECHARGE,23
351,95,XC60,23
352,96,XC90,23
